gene_combination_unordered,Array_category,Mouse_genotype,Fitness,Fitness_bootstrap_median,Fitness_bootstrap_mean,Fitness_97.5P,Fitness_2.5P,Fitness_pvalue_twoside,Fitness_pvalue_twoside_FDR
Rb1_Rbm10_Safe,Double_TSG,KTCas12a,0.8443879545533668,0.8327796026157288,0.8424820855488271,1.162588144661993,0.5404841931604278,0.0,0.0
Rb1_Rbm10_Tet2,Triple_TSG,KTCas12a,1.3035126207165948,1.296005606602046,1.302612132884936,1.568486377471158,1.0142485483533545,0.0,0.0
Rb1_Rbm10_Trp53,Triple_TSG,KTCas12a,1.935798451327908,1.9311508782097742,1.9407932664003762,2.3397053130526717,1.5203707215257716,0.0,0.0
Rb1_Rbm10_Tsc2,Triple_TSG,KTCas12a,2.2936968522870265,2.3002705418339167,2.328564354578101,2.84409609234347,1.8114631489791688,0.0,0.0
Rb1_Safe_Safe,Single_TSG,KTCas12a,0.5008684683018451,0.4556531197043058,0.4956709753721978,0.9989266683390979,0.06804463703031274,0.018,0.020526315789473684
Rb1_Safe_Tet2,Double_TSG,KTCas12a,0.8159623015811642,0.798305685429372,0.8085705073073787,1.1254831313096891,0.47648321905056756,0.0,0.0
Rb1_Safe_Trp53,Double_TSG,KTCas12a,1.598968046542456,1.59320278694309,1.6124989380377968,1.9307237620740134,1.3015986723188293,0.0,0.0
Rb1_Safe_Tsc2,Double_TSG,KTCas12a,2.318880470695318,2.310516186906438,2.3281803396904617,2.740841787158946,1.8657792291216908,0.0,0.0
Rb1_Tet2_Trp53,Triple_TSG,KTCas12a,2.0479436693576725,2.05327214970441,2.04784190701906,2.342625105845716,1.6699169895611246,0.0,0.0
Rb1_Tet2_Tsc2,Triple_TSG,KTCas12a,3.0257055241834983,3.0331851109173003,3.043263194250879,3.590546269532171,2.44202166962131,0.0,0.0
Rb1_Trp53_Tsc2,Triple_TSG,KTCas12a,3.631991500551639,3.6208653387466128,3.671409596720201,4.324858156650002,2.9749346192986015,0.0,0.0
Rbm10_Safe_Safe,Single_TSG,KTCas12a,0.26889425075962287,0.269166264822342,0.2713350414498026,0.4733141822976499,0.051416648018592775,0.008,0.00920353982300885
Rbm10_Safe_Tet2,Double_TSG,KTCas12a,0.3431734505598192,0.33570500434739886,0.33810603899983865,0.49625254039007854,0.1740399190933105,0.0,0.0
Rbm10_Safe_Trp53,Double_TSG,KTCas12a,0.524303969139548,0.5168839206655372,0.5289725315521034,0.758741954017607,0.32005646577434804,0.0,0.0
Rbm10_Safe_Tsc2,Double_TSG,KTCas12a,0.7180135718801812,0.7158960133211252,0.7245170941016259,0.9683004986548672,0.497892210760021,0.0,0.0
Rbm10_Tet2_Trp53,Triple_TSG,KTCas12a,0.6604962473060119,0.6571892291761138,0.6583683866607634,0.8534394552679815,0.4610696803422095,0.0,0.0
Rbm10_Tet2_Tsc2,Triple_TSG,KTCas12a,0.9692277587451511,0.9711760256989103,0.9833784480833926,1.267280193205059,0.7379260240723905,0.0,0.0
Rbm10_Trp53_Tsc2,Triple_TSG,KTCas12a,1.3573214843226002,1.365013237564564,1.378143127839009,1.6903086267073353,1.0660125288162916,0.0,0.0
Safe_Safe_Safe,Triple_Inert,KTCas12a,-0.2650772291074029,0.001641978008469922,0.0191823197806208,0.4587541807742456,-0.4560214277150294,0.99,0.9899999999999999
Safe_Safe_Tet2,Single_TSG,KTCas12a,0.09326431117608285,0.08883816408478676,0.09388316047359109,0.31409240517401277,-0.14521668692184708,0.4139999999999999,0.43403225806451606
Safe_Safe_Trp53,Single_TSG,KTCas12a,0.21372413288620049,0.19821001410175637,0.21581471293983326,0.47800842636885205,-0.020251734327054544,0.08,0.0859504132231405
Safe_Safe_Tsc2,Single_TSG,KTCas12a,0.6547368562680672,0.6589732331697681,0.6654974813328699,0.9233493520409971,0.4164453690157949,0.0,0.0
Safe_Tet2_Trp53,Double_TSG,KTCas12a,0.6469641050575656,0.6421569478449344,0.6496816919668112,0.8237623784197072,0.4689683798855124,0.0,0.0
Safe_Tet2_Tsc2,Double_TSG,KTCas12a,0.7164243352518643,0.7157456042895362,0.72322284014958,0.9897946948834971,0.46979441910682795,0.0,0.0
Safe_Trp53_Tsc2,Double_TSG,KTCas12a,1.013011681546664,1.0193253521043928,1.0283718348390547,1.2807716935709235,0.7924921884325905,0.0,0.0
Tet2_Trp53_Tsc2,Triple_TSG,KTCas12a,1.16118678663662,1.1567211005840927,1.1656020876493904,1.41987838380472,0.8997050913769927,0.0,0.0
Arid1a_Keap1_Lkb1,Triple_TSG,KT,-0.03612981328144407,-0.037175323067318564,-0.03450058003784697,0.1356405179997453,-0.19989375572677034,0.64,0.9815503875968992
Arid1a_Keap1_Mga,Triple_TSG,KT,0.1882103953951325,0.17593694541093602,0.1832775724719066,0.40267139612254554,-0.012122216415147505,0.078,0.9815503875968992
Arid1a_Keap1_Rb1,Triple_TSG,KT,0.16072569953158908,0.15197886420410422,0.16316207205192917,0.4028517438747651,-0.0483619051008344,0.1659999999999999,0.9815503875968992
Arid1a_Keap1_Rbm10,Triple_TSG,KT,0.03519373342509078,0.03137126764187007,0.040448682900406194,0.23925554617901978,-0.13937208599764353,0.728,0.9815503875968992
Arid1a_Keap1_Safe,Double_TSG,KT,0.1520046329930998,0.14840168774916282,0.15385265516030092,0.3321230532511644,-0.020802600491959835,0.096,0.9815503875968992
Arid1a_Keap1_Tet2,Triple_TSG,KT,0.042302365539422834,0.03708421179603342,0.04545706755013585,0.2892937748098711,-0.19506715542775668,0.788,0.9815503875968992
Arid1a_Keap1_Trp53,Triple_TSG,KT,0.0635832325896885,0.05620243345100305,0.06200224589000178,0.27815853531960716,-0.13112958034819397,0.6160000000000001,0.9815503875968992
Arid1a_Keap1_Tsc2,Triple_TSG,KT,0.016260638019589744,-0.006766464444829751,0.003970955399926306,0.25574349888382747,-0.2172147431546158,0.952,0.9815503875968992
Arid1a_Lkb1_Mga,Triple_TSG,KT,-0.04420947984801446,-0.040825260624142275,-0.04131495374380718,0.14017113887351706,-0.2528444082496215,0.722,0.9815503875968992
Arid1a_Lkb1_Rb1,Triple_TSG,KT,0.0060523902215898154,-0.006550335477366663,-0.0033901599959171645,0.20782992231716502,-0.22610752939779724,0.962,0.9815503875968992
Arid1a_Lkb1_Rbm10,Triple_TSG,KT,-0.08473680885201787,-0.09027738496872263,-0.08697393949543038,0.0761451141532337,-0.25690327274471764,0.304,0.9815503875968992
Arid1a_Lkb1_Safe,Double_TSG,KT,0.019245116104391887,0.01603818893842082,0.022863716661226413,0.23801784842169169,-0.17845939820586945,0.8859999999999999,0.9815503875968992
Arid1a_Lkb1_Tet2,Triple_TSG,KT,-0.016148776392412863,-0.01750623197820326,-0.011549177131170166,0.2309273259648942,-0.24457348094237613,0.872,0.9815503875968992
Arid1a_Lkb1_Trp53,Triple_TSG,KT,-0.029160412013791256,-0.032791802341083705,-0.028894637458705578,0.17821929551122134,-0.23109494586881593,0.704,0.9815503875968992
Arid1a_Lkb1_Tsc2,Triple_TSG,KT,0.1963444360312612,0.18612354957735508,0.19311139218724327,0.42425944254569775,-0.0488119383095817,0.1259999999999999,0.9815503875968992
Arid1a_Mga_Rb1,Triple_TSG,KT,0.07309813764413008,0.06201463123535224,0.06281719478034471,0.27995475694987915,-0.20204751720884984,0.6279999999999999,0.9815503875968992
Arid1a_Mga_Rbm10,Triple_TSG,KT,0.005253412221790974,0.002932684821597971,0.0023807780318491293,0.15949436589213603,-0.16392622130581064,0.968,0.9815503875968992
Arid1a_Mga_Safe,Double_TSG,KT,-0.084534682897993,-0.08616963719943652,-0.08235947650863121,0.09562375381640846,-0.24152826244113845,0.288,0.9815503875968992
Arid1a_Mga_Tet2,Triple_TSG,KT,-0.09740058636375562,-0.09248644949732808,-0.08812682029776957,0.08670238353499032,-0.26135330701578824,0.286,0.9815503875968992
Arid1a_Mga_Trp53,Triple_TSG,KT,0.09124727377925464,0.09260508623882363,0.09443409295592518,0.32973144160495454,-0.14257915857559594,0.4219999999999999,0.9815503875968992
Arid1a_Mga_Tsc2,Triple_TSG,KT,0.14882840094191802,0.14980444393559594,0.15563778536758457,0.35817920693709204,-0.03944254886037798,0.1240000000000001,0.9815503875968992
Arid1a_Rb1_Rbm10,Triple_TSG,KT,0.11138127835946343,0.08993764468412745,0.10967364084587983,0.4100153052520962,-0.14913308392724192,0.504,0.9815503875968992
Arid1a_Rb1_Safe,Double_TSG,KT,-0.016490434913995367,-0.02359080933966263,-0.019041521290143634,0.15157579569638363,-0.1735439488771896,0.788,0.9815503875968992
Arid1a_Rb1_Tet2,Triple_TSG,KT,-0.10798779313816455,-0.10588561491980349,-0.09683928510161562,0.15340596178614654,-0.34051279137713497,0.404,0.9815503875968992
Arid1a_Rb1_Trp53,Triple_TSG,KT,-0.010521158157110033,-0.004771398417364851,-0.0039258639984827435,0.18490716673830465,-0.20015585823321821,0.962,0.9815503875968992
Arid1a_Rb1_Tsc2,Triple_TSG,KT,0.08550685708802379,0.06487162478922102,0.07371091350100117,0.3431072416671744,-0.2001085379626097,0.6279999999999999,0.9815503875968992
Arid1a_Rbm10_Safe,Double_TSG,KT,0.11039542273616913,0.10225426593340983,0.1113179485851953,0.33090770988675916,-0.11094894463190569,0.3899999999999999,0.9815503875968992
Arid1a_Rbm10_Tet2,Triple_TSG,KT,0.07428978136863912,0.06864052788755635,0.0800505345221948,0.355979240507411,-0.20068333972595825,0.6279999999999999,0.9815503875968992
Arid1a_Rbm10_Trp53,Triple_TSG,KT,-0.03464133842835732,-0.041302777180796994,-0.04119503766754693,0.16005641651995783,-0.27411752651155236,0.716,0.9815503875968992
Arid1a_Rbm10_Tsc2,Triple_TSG,KT,0.10507233988815617,0.09662350964859916,0.1069669488570188,0.34192932588529223,-0.1021244448497342,0.3440000000000001,0.9815503875968992
Arid1a_Safe_Safe,Single_TSG,KT,0.10832183892569938,0.11211456432535402,0.12281166653422103,0.4401621629188335,-0.22369214611986338,0.502,0.9815503875968992
Arid1a_Safe_Tet2,Double_TSG,KT,-0.012335660823089139,-0.01168074070050697,-0.007479422546105717,0.19318951113755006,-0.21854448868081117,0.91,0.9815503875968992
Arid1a_Safe_Trp53,Double_TSG,KT,0.005359423261688729,-0.0064631005950966,-0.002806759447745841,0.1911359552797089,-0.201834274535644,0.97,0.9815503875968992
Arid1a_Safe_Tsc2,Double_TSG,KT,-0.08040782917693957,-0.0782461628184806,-0.07708061852896764,0.08270279202905449,-0.2389885758965871,0.328,0.9815503875968992
Arid1a_Tet2_Trp53,Triple_TSG,KT,0.11002966370667493,0.08756465222418773,0.09244115727727263,0.31303466594728113,-0.12316985176438487,0.4199999999999999,0.9815503875968992
Arid1a_Tet2_Tsc2,Triple_TSG,KT,0.019806332863177907,0.013540977469991593,0.020679928631395034,0.2208378034207297,-0.16261748317963184,0.8919999999999999,0.9815503875968992
Arid1a_Trp53_Tsc2,Triple_TSG,KT,0.029164601644017372,0.02289984222460091,0.02942978254716712,0.2300604333834354,-0.15732989661140123,0.788,0.9815503875968992
Keap1_Lkb1_Mga,Triple_TSG,KT,-0.027244332113047675,-0.02524794818988909,-0.023457212637463053,0.15791516691292323,-0.21804473490359247,0.8,0.9815503875968992
Keap1_Lkb1_Rb1,Triple_TSG,KT,-0.05136589126212862,-0.06224938792991448,-0.058388309674796565,0.13950826128788507,-0.25071396136077767,0.546,0.9815503875968992
Keap1_Lkb1_Rbm10,Triple_TSG,KT,-0.028234269414145752,-0.02588947824363651,-0.022662762731389487,0.16833452213081412,-0.2112149150856421,0.768,0.9815503875968992
Keap1_Lkb1_Safe,Double_TSG,KT,0.10560254637897092,0.09406337163809819,0.09876641595304861,0.33114860649433636,-0.14017916997632573,0.4479999999999999,0.9815503875968992
Keap1_Lkb1_Tet2,Triple_TSG,KT,0.07732212188724635,0.07165808521489297,0.07394959415677657,0.24477705958783222,-0.10259883076220747,0.4439999999999999,0.9815503875968992
Keap1_Lkb1_Trp53,Triple_TSG,KT,0.017128772816494157,0.009410097615971962,0.02172577952340987,0.28718015254612517,-0.20671458356943803,0.952,0.9815503875968992
Keap1_Lkb1_Tsc2,Triple_TSG,KT,0.1462150701095782,0.14425482202802117,0.14761151003035802,0.32504535621016056,-0.047423391839599115,0.1240000000000001,0.9815503875968992
Keap1_Mga_Rb1,Triple_TSG,KT,0.0547479866000648,0.04859309978148691,0.05452978289807311,0.26402545337691546,-0.1432923806614201,0.6519999999999999,0.9815503875968992
Keap1_Mga_Rbm10,Triple_TSG,KT,0.16522848779176297,0.15815274647105848,0.1677374265236262,0.38198576982112736,-0.032579549378537555,0.1100000000000001,0.9815503875968992
Keap1_Mga_Safe,Double_TSG,KT,-0.04041542382647024,-0.0431272264342173,-0.043306120159712795,0.11632009500814881,-0.2085817215576226,0.592,0.9815503875968992
Keap1_Mga_Tet2,Triple_TSG,KT,-0.015153319572036677,-0.01685485081519326,-0.010159120826791478,0.17192495459176246,-0.18493150249972115,0.85,0.9815503875968992
Keap1_Mga_Trp53,Triple_TSG,KT,-0.012456727914970706,-0.010240101958974209,-0.008808258330203912,0.20223293586646612,-0.21786440665539877,0.902,0.9815503875968992
Keap1_Mga_Tsc2,Triple_TSG,KT,0.06098006073337065,0.05507275125153916,0.06359516864352233,0.2524545312528019,-0.08928719629845502,0.518,0.9815503875968992
Keap1_Rb1_Rbm10,Triple_TSG,KT,0.170799041761674,0.15920796788297345,0.17643134922944353,0.44111261407107416,-0.08417247005988336,0.1859999999999999,0.9815503875968992
Keap1_Rb1_Safe,Double_TSG,KT,0.050702358734152464,0.046570761862970086,0.04971807523483853,0.23853950282067993,-0.11675487916062322,0.6339999999999999,0.9815503875968992
Keap1_Rb1_Tet2,Triple_TSG,KT,0.07231692479928745,0.05542983312607279,0.07092294180477388,0.3525872132703884,-0.18509527177399693,0.69,0.9815503875968992
Keap1_Rb1_Trp53,Triple_TSG,KT,-0.09969003953288112,-0.10108655275148667,-0.10432993096929796,0.04154123687450111,-0.27479382133633234,0.194,0.9815503875968992
Keap1_Rb1_Tsc2,Triple_TSG,KT,0.11596420919567248,0.09741606292538738,0.1161904565146359,0.4055804898020939,-0.13854970303320358,0.476,0.9815503875968992
Keap1_Rbm10_Safe,Double_TSG,KT,0.014319819963666982,0.01267498041889538,0.016038188604002645,0.16400754376473756,-0.13157559153960602,0.8660000000000001,0.9815503875968992
